1240 322928
1 2 65
1 5 38
1 7 29
1 9 4
1 13 63
1 14 71
1 15 45
1 17 37
1 18 13
1 19 61
1 27 78
1 29 15
1 30 81
1 31 23
1 33 4
1 36 76
1 38 5
1 44 22
1 46 14
1 55 36
1 56 51
1 59 24
1 60 75
1 63 58
1 64 52
1 65 23
1 66 22
1 68 35
1 69 78
1 70 23
1 71 31
1 74 13
1 76 16
1 78 18
1 86 16
1 88 35
1 89 72
1 91 26
1 92 51
1 94 73
1 95 44
1 96 60
1 97 43
1 100 48
1 101 71
1 102 82
1 103 81
1 104 31
1 105 75
1 106 20
1 109 73
1 113 15
1 115 73
1 119 79
1 122 1
1 124 81
1 125 68
1 127 54
1 128 8
1 129 59
1 130 22
1 131 40
1 133 1
1 135 3
1 140 45
1 141 26
1 144 17
1 145 20
1 146 22
1 147 50
1 151 53
1 152 13
1 155 57
1 156 15
1 157 37
1 159 53
1 160 66
1 161 3
1 163 58
1 165 2
1 166 53
1 167 14
1 168 46
1 169 38
1 172 18
1 173 8
1 174 20
1 178 20
1 181 57
1 182 19
1 184 81
1 186 28
1 189 36
1 191 13
1 200 30
1 205 53
1 206 59
1 207 41
1 209 55
1 214 74
1 216 23
1 217 38
1 218 25
1 222 3
1 224 72
1 226 79
1 227 33
1 233 52
1 244 66
1 245 45
1 246 47
1 249 16
1 250 32
1 254 27
1 255 1
1 260 13
1 261 19
1 264 38
1 271 40
1 274 33
1 275 29
1 276 36
1 277 45
1 278 6
1 279 9
1 281 40
1 282 39
1 285 74
1 289 45
1 294 73
1 296 59
1 299 69
1 302 73
1 303 61
1 307 29
1 311 15
1 313 9
1 316 25
1 320 1
1 321 18
1 322 27
1 326 55
1 329 76
1 331 20
1 332 64
1 336 26
1 341 49
1 342 71
1 343 26
1 348 67
1 349 45
1 351 40
1 355 76
1 359 78
1 362 55
1 370 56
1 371 27
1 374 63
1 375 39
1 377 19
1 378 11
1 379 47
1 380 63
1 381 31
1 382 28
1 383 24
1 385 16
1 390 25
1 392 8
1 393 78
1 394 4
1 395 78
1 398 79
1 399 48
1 404 15
1 407 2
1 411 41
1 412 78
1 413 9
1 414 40
1 417 27
1 418 73
1 420 59
1 422 74
1 427 9
1 428 2
1 429 67
1 430 23
1 434 74
1 441 67
1 442 25
1 444 76
1 451 76
1 454 16
1 455 56
1 457 27
1 460 2
1 463 20
1 465 63
1 467 78
1 468 34
1 469 25
1 472 67
1 475 50
1 476 48
1 480 1
1 482 76
1 484 1
1 485 11
1 488 35
1 490 71
1 492 44
1 496 62
1 497 19
1 498 79
1 499 40
1 504 30
1 506 38
1 507 56
1 510 61
1 512 61
1 513 35
1 516 47
1 517 54
1 520 27
1 522 33
1 525 18
1 526 45
1 527 78
1 530 14
1 532 52
1 536 36
1 537 12
1 538 1
1 542 33
1 544 28
1 547 47
1 549 13
1 550 31
1 554 11
1 557 81
1 560 12
1 567 26
1 572 7
1 573 74
1 583 12
