100 3692
1 2 41
1 3 33
1 5 33
1 6 1
1 7 55
1 8 59
1 9 60
1 10 74
1 11 72
1 12 39
1 13 82
1 14 2
1 15 46
1 16 12
1 17 45
1 18 68
1 19 63
1 21 63
1 24 27
1 26 57
1 27 73
1 28 25
1 29 75
1 30 58
1 31 16
1 32 81
1 33 59
1 36 39
1 38 63
1 40 55
1 41 47
1 42 55
1 43 78
1 44 11
1 46 57
1 50 47
1 51 58
1 52 59
1 53 30
1 55 28
1 56 78
1 57 14
1 58 82
1 59 24
1 60 6
1 61 34
1 63 37
1 64 21
1 65 36
1 66 29
1 68 50
1 69 6
1 70 41
1 71 1
1 72 60
1 74 76
1 75 62
1 76 14
1 78 82
1 79 35
1 82 73
1 83 46
1 85 39
1 86 63
1 87 23
1 88 6
1 89 33
1 90 78
1 91 30
1 92 77
1 94 55
1 95 70
1 96 64
1 97 50
1 98 82
1 100 56
2 3 74
2 4 76
2 5 25
2 6 56
2 7 1
2 8 14
2 10 1
2 11 41
2 13 45
2 14 10
2 15 54
2 16 10
2 17 22
2 18 67
2 21 7
2 22 50
2 24 80
2 25 4
2 26 28
2 27 74
2 28 54
2 29 71
2 30 31
2 31 69
2 32 31
2 33 32
2 35 69
2 36 48
2 37 31
2 38 50
2 42 64
2 43 15
2 46 52
2 47 9
2 48 71
2 49 36
2 51 22
2 52 44
2 53 74
2 54 49
2 55 9
2 56 28
2 57 71
2 58 26
2 59 44
2 61 36
2 62 76
2 63 76
2 65 48
2 66 74
2 67 2
2 68 35
2 69 51
2 70 66
2 71 22
2 74 2
2 75 41
2 76 33
2 78 18
2 80 37
2 82 12
2 83 55
2 84 27
2 86 46
2 87 32
2 88 5
2 90 69
2 91 17
2 92 47
2 93 6
2 100 22
3 4 63
3 5 21
3 7 41
3 10 31
3 11 10
3 12 21
3 14 2
3 19 1
3 21 36
3 22 27
3 23 62
3 25 16
3 26 5
3 27 37
3 29 4
3 30 14
3 31 40
3 32 26
3 34 75
3 35 27
3 37 25
3 38 63
3 39 30
3 41 36
3 42 11
3 46 69
3 47 49
3 48 36
3 49 16
3 50 73
3 51 17
3 53 32
3 54 67
3 55 17
3 56 8
3 59 21
3 60 6
3 61 24
3 63 26
3 65 44
3 66 69
3 68 70
3 69 26
3 71 43
3 74 61
3 75 67
3 76 28
3 77 47
3 79 1
3 80 12
3 81 7
3 82 48
3 83 39
3 84 51
3 86 41
3 87 75
3 88 80
3 90 14
3 91 11
3 92 5
3 93 16
3 94 22
3 96 40
3 98 17
3 99 59
4 5 40
4 6 42
4 7 48
4 8 41
4 9 14
4 10 70
4 11 12
4 12 57
4 13 76
4 14 70
4 16 13
4 18 17
4 19 46
4 20 55
4 22 53
4 24 6
4 25 55
4 27 2
4 29 53
4 30 80
4 31 21
4 32 36
4 33 48
4 35 8
4 38 44
4 40 47
4 41 70
4 45 41
4 47 39
4 48 77
4 50 35
4 51 51
4 52 3
4 53 3
4 54 78
4 57 55
4 58 82
4 60 32
4 62 33
4 63 60
4 64 81
4 68 45
4 69 77
4 70 32
4 71 65
4 72 25
4 74 69
4 75 62
4 79 66
4 80 3
4 83 74
4 84 32
4 85 6
4 86 36
4 87 32
4 88 15
4 89 28
4 90 68
4 91 9
4 92 14
4 94 29
4 99 33
4 100 17
5 6 55
5 7 8
5 8 45
5 9 7
5 11 64
5 12 56
5 13 28
5 14 65
5 16 11
5 17 80
5 18 38
5 19 54
5 20 21
5 21 43
5 22 51
5 24 70
5 25 46
5 26 14
5 27 41
5 28 42
5 29 47
5 30 42
5 31 34
5 32 76
5 33 5
5 34 81
5 35 76
5 36 75
5 37 8
5 38 64
5 39 67
5 40 73
5 41 56
5 42 66
5 43 71
5 44 30
5 46 16
5 48 33
5 51 32
5 52 32
5 53 22
5 54 11
5 55 11
5 56 52
5 58 3
5 59 71
5 62 44
5 63 13
5 65 71
5 67 40
5 68 35
5 69 23
5 70 70
5 71 82
5 73 17
5 74 70
5 75 5
5 77 63
5 79 37
5 81 34
5 82 49
5 83 12
5 85 74
5 86 8
5 87 76
5 88 79
5 89 8
5 90 76
5 91 38
5 94 14
5 95 23
5 96 38
5 98 59
5 99 2
5 100 4
6 7 47
6 8 68
6 10 11
6 11 49
6 12 79
6 13 1
