860 214644
1 2 48
1 3 20
1 5 76
1 7 31
1 9 2
1 10 75
1 12 30
1 13 74
1 14 12
1 15 28
1 17 80
1 18 44
1 19 32
1 21 59
1 24 28
1 26 70
1 27 47
1 28 42
1 29 60
1 30 3
1 31 57
1 32 2
1 33 47
1 36 68
1 38 39
1 44 11
1 46 60
1 51 33
1 52 54
1 55 34
1 56 19
1 57 44
1 59 9
1 60 26
1 63 54
1 64 27
1 65 41
1 66 81
1 68 2
1 69 21
1 70 54
1 71 12
1 74 17
1 75 52
1 76 79
1 78 20
1 79 51
1 83 67
1 85 11
1 86 34
1 88 20
1 89 15
1 91 4
1 92 3
1 94 28
1 95 26
1 96 74
1 97 36
1 98 46
1 100 42
1 101 17
1 102 40
1 103 8
1 104 18
1 105 64
1 106 43
1 108 62
1 109 74
1 112 41
1 113 15
1 115 57
1 119 58
1 122 16
1 123 67
1 124 49
1 125 77
1 126 8
1 127 29
1 128 34
1 129 79
1 130 41
1 131 78
1 133 29
1 135 4
1 136 75
1 140 45
1 141 34
1 144 7
1 145 34
1 146 69
1 147 1
1 150 32
1 151 6
1 152 65
1 155 52
1 156 67
1 157 58
1 159 70
1 160 30
1 161 4
1 163 5
1 164 18
1 165 57
1 166 26
1 167 49
1 168 27
1 169 60
1 172 23
1 173 32
1 174 41
1 176 37
1 178 41
1 180 48
1 181 62
1 182 46
1 184 5
1 185 18
1 186 56
1 188 67
1 189 47
1 191 24
1 198 2
1 200 31
1 205 31
1 206 14
1 207 73
1 209 4
1 214 25
1 216 13
1 217 33
1 218 9
1 222 20
1 224 77
1 225 64
1 226 59
1 227 39
1 229 61
1 230 66
1 233 82
1 241 16
1 242 35
1 244 47
1 245 69
1 246 59
1 248 81
1 249 58
1 250 73
1 254 49
1 255 68
1 258 78
1 260 71
1 261 78
1 263 23
1 264 79
1 270 47
1 271 60
1 274 22
1 275 8
1 276 14
1 277 54
1 278 75
1 279 79
1 281 17
1 282 68
1 283 15
1 285 61
1 287 79
