480 29817
1 2 21
1 13 5
1 14 44
1 18 44
1 29 5
1 30 36
1 33 45
1 36 16
1 44 37
1 46 44
1 55 41
1 56 18
1 63 15
1 64 1
1 66 22
1 68 36
1 70 35
1 71 41
1 76 10
1 86 45
1 88 43
1 91 13
1 92 24
1 94 37
1 95 10
1 96 21
1 97 20
1 100 10
1 101 27
1 103 39
1 104 4
1 105 38
1 113 35
1 115 18
1 122 46
1 125 7
1 133 46
1 135 23
1 144 41
1 146 34
1 152 37
1 155 36
1 160 8
1 161 8
1 163 18
1 165 38
1 166 15
1 169 42
1 172 21
1 178 26
1 181 32
1 184 46
1 186 23
1 189 26
1 191 6
1 216 4
1 217 27
1 222 12
1 224 20
1 226 3
1 227 43
1 233 21
1 244 16
1 246 43
1 254 21
1 255 18
1 261 27
1 264 24
1 271 16
1 274 25
1 275 2
1 277 14
1 278 19
1 279 41
1 281 40
1 282 11
1 285 16
1 289 28
1 296 7
1 299 27
1 303 38
1 311 1
1 316 11
1 320 25
1 321 13
1 322 8
1 329 21
1 332 26
1 342 3
1 355 32
1 370 44
1 371 32
1 374 40
1 375 22
1 378 36
1 379 38
1 381 13
1 382 9
1 390 43
1 392 36
1 393 34
1 395 29
1 407 33
1 411 36
1 412 4
1 413 40
1 414 34
1 418 41
1 422 38
1 427 14
1 428 35
1 430 25
1 434 24
1 442 8
1 463 45
1 465 23
1 468 23
1 469 20
1 475 12
2 4 40
2 6 21
2 7 12
2 10 39
2 18 6
2 19 31
2 21 19
2 28 46
2 29 46
2 32 21
2 34 29
2 44 17
2 47 23
2 48 32
2 49 14
2 52 37
2 54 8
2 59 35
2 60 12
2 64 36
2 72 20
2 76 24
2 79 25
2 82 26
2 89 1
2 94 4
2 105 3
2 114 37
2 120 32
2 121 22
2 127 41
2 140 31
2 150 8
2 156 20
2 161 37
2 162 9
2 163 34
2 166 37
2 167 45
2 168 44
2 169 17
2 171 9
2 176 21
2 184 43
2 188 21
2 189 25
2 193 2
2 195 41
2 202 13
2 203 45
2 204 21
2 208 6
2 212 26
2 214 11
2 216 16
2 226 39
2 231 42
2 236 36
2 237 7
2 240 33
2 241 31
2 242 45
2 246 17
2 250 24
2 257 20
2 259 45
2 265 40
2 267 31
2 268 10
2 270 12
2 273 32
2 279 28
2 281 31
2 308 11
2 311 26
2 312 24
2 319 29
2 321 37
2 332 10
2 333 23
2 336 6
2 338 44
2 343 9
2 345 4
2 349 13
2 350 20
2 353 40
2 355 30
2 363 26
2 367 6
2 370 36
2 373 36
2 374 40
2 376 35
2 380 19
2 382 2
2 387 36
2 391 5
2 394 34
2 396 13
2 400 8
2 405 15
2 406 44
2 411 6
2 413 25
2 414 24
2 415 7
2 420 35
2 426 37
2 433 13
2 438 19
2 439 15
2 445 38
2 450 15
2 458 8
2 460 5
2 461 30
2 478 43
3 5 16
3 9 15
3 17 19
3 19 36
3 22 10
3 24 39
3 29 46
3 54 40
3 56 35
3 58 1
3 59 14
3 63 35
3 77 32
3 78 18
3 88 12
3 94 15
3 103 37
3 105 46
3 108 11
3 127 1
3 129 9
3 130 25
3 134 45
3 139 15
3 142 25
3 147 19
3 148 17
3 149 2
3 151 42
3 152 6
3 153 41
3 154 31
3 155 42
3 159 42
3 160 8
3 162 12
3 168 41
3 170 41
3 171 44
3 176 13
3 177 40
3 178 45
3 181 43
3 182 10
3 183 4
3 191 10
3 192 7
3 203 34
3 206 34
3 207 43
3 211 35
3 212 13
3 223 6
3 228 39
3 230 15
3 232 34
3 237 22
3 239 3
3 242 11
3 254 13
3 264 35
3 266 1
3 268 33
3 275 43
3 276 34
3 277 34
3 280 40
3 286 42
3 287 13
3 288 29
3 289 10
3 290 5
3 291 4
3 298 39
3 305 7
3 308 33
3 310 39
3 313 42
3 315 3
3 316 39
3 320 35
3 321 32
3 327 11
3 328 19
3 336 8
3 337 14
3 349 13
3 355 13
3 359 11
3 363 7
3 369 38
3 370 26
3 385 18
3 393 8
3 404 1
3 405 40
3 408 8
3 413 14
3 419 11
3 422 36
3 430 46
3 431 22
3 436 20
3 439 19
3 441 1
3 444 22
3 447 37
3 455 41
3 458 35
3 462 44
3 464 40
3 465 45
3 475 35
3 478 31
4 5 19
4 9 3
4 10 20
4 11 38
4 15 32
4 16 27
4 19 26
4 23 3
4 29 45
4 34 38
4 40 25
