100 1268
1 2 41
1 13 33
1 14 33
1 18 1
1 29 55
1 30 59
1 33 60
1 36 39
1 44 2
1 46 46
1 55 12
1 56 45
1 63 63
1 64 63
1 66 27
1 68 57
1 70 25
1 71 58
1 76 16
1 86 59
1 88 39
1 91 63
1 92 55
1 94 47
1 95 55
1 96 11
1 97 57
1 100 47
2 3 58
2 5 59
2 6 30
2 7 28
2 15 14
2 17 24
2 24 6
2 27 34
2 35 37
2 37 21
2 46 36
2 48 29
2 54 50
2 57 6
2 62 41
2 63 1
2 65 60
2 67 62
2 68 14
2 71 35
2 74 46
2 80 39
2 83 63
2 86 23
2 88 6
2 91 33
2 93 30
3 21 55
3 22 64
3 27 50
3 29 56
3 31 25
3 32 56
3 38 1
3 49 14
3 51 1
3 59 41
3 60 45
3 66 10
3 69 54
3 76 10
3 79 22
3 80 7
3 82 50
3 83 4
3 84 28
3 86 54
3 87 31
3 90 31
3 94 32
4 5 48
4 8 31
4 12 50
4 20 64
4 25 15
4 29 52
4 30 9
4 31 36
4 38 22
4 41 44
4 51 49
4 64 9
4 79 28
4 80 26
4 83 44
4 84 36
4 87 48
4 88 2
4 90 35
4 91 51
4 99 22
5 6 2
5 7 41
5 9 33
5 21 18
5 25 37
5 26 12
5 27 55
5 28 27
5 32 46
5 36 32
5 41 5
5 42 17
5 44 47
5 48 6
5 56 22
5 77 63
5 79 21
5 82 41
5 83 31
5 89 10
5 96 21
5 98 2
5 99 1
6 8 36
6 16 27
6 17 62
6 19 16
6 26 5
6 27 37
6 30 4
6 32 14
6 42 40
6 45 26
6 46 27
6 47 25
6 50 63
6 52 30
6 57 36
6 58 11
6 62 49
6 70 36
6 74 16
6 77 17
6 80 32
6 87 17
6 92 8
7 10 21
7 19 6
7 25 24
7 26 26
7 32 44
7 45 26
7 55 43
7 61 61
7 66 28
7 67 47
7 68 1
7 71 12
7 72 7
7 73 48
7 74 39
7 76 51
7 81 41
7 89 14
7 93 11
7 94 5
7 98 16
7 100 22
8 15 40
8 16 17
8 17 59
8 21 40
8 25 42
8 27 48
8 29 41
8 39 14
8 44 12
8 49 57
8 50 13
8 53 17
8 54 46
8 55 55
8 59 53
8 63 6
8 70 55
8 72 2
8 78 53
8 80 21
8 81 36
8 83 48
8 86 8
8 92 44
8 94 47
9 30 41
9 33 39
9 34 35
9 41 51
9 43 3
9 54 3
9 55 55
9 58 32
9 60 33
9 65 60
9 67 45
9 71 32
9 72 25
9 75 62
9 77 3
9 85 32
9 89 6
9 92 36
9 95 32
9 96 15
9 98 28
10 12 9
10 14 14
10 19 29
10 23 33
10 26 17
10 28 55
10 32 8
10 37 45
10 38 7
10 43 64
10 45 56
10 46 28
10 47 11
10 52 38
10 58 54
10 65 21
10 70 43
10 71 51
10 77 46
10 82 14
10 90 41
10 92 42
10 93 47
11 21 42
11 25 34
11 29 5
11 37 8
11 39 64
11 42 56
11 44 30
11 49 16
11 74 33
11 76 32
11 78 32
11 79 22
11 83 11
11 97 11
11 98 52
12 20 3
12 26 44
12 35 13
12 37 40
12 40 35
12 59 23
12 61 17
12 62 5
12 66 63
12 71 37
12 74 34
12 79 49
12 80 12
12 81 8
12 83 8
12 84 38
12 85 14
12 86 23
12 87 38
12 91 59
12 92 2
12 94 4
12 100 47
13 15 11
13 16 49
13 21 1
13 22 44
13 23 12
13 26 17
13 27 22
13 28 7
13 36 14
13 37 31
13 48 50
13 51 16
13 52 24
13 56 30
13 57 28
13 68 58
13 73 12
13 75 9
13 77 32
13 82 11
13 84 64
13 87 55
13 99 5
14 23 42
14 25 3
14 27 27
14 34 23
14 35 32
14 36 18
14 39 61
14 45 17
14 46 27
14 47 24
14 48 27
14 49 7
14 50 59
14 57 54
14 64 4
14 67 13
14 69 54
14 72 56
14 74 64
14 75 62
14 79 47
14 80 4
14 86 53
14 87 35
14 95 5
14 96 33
15 23 39
15 29 21
15 33 36
15 37 25
15 43 35
15 44 45
15 59 33
15 67 50
15 78 55
15 79 23
15 82 6
15 87 23
15 93 19
15 96 42
16 20 50
16 21 38
16 26 45
16 29 24
16 31 29
16 34 40
16 37 56
16 45 34
16 48 14
16 52 8
16 54 29
16 55 39
16 65 14
16 68 9
16 71 29
16 75 9
16 76 25
16 77 48
16 81 22
16 82 7
16 85 4
16 89 1
16 95 48
16 100 13
17 23 60
17 24 20
17 27 8
17 29 59
17 31 2
17 36 23
17 39 5
17 43 9
17 48 9
17 52 38
17 53 30
17 55 64
17 56 26
17 57 45
17 59 31
17 62 9
17 64 45
17 70 60
17 72 61
17 75 24
17 82 33
17 83 29
17 84 27
17 87 11
17 97 4
17 99 60
17 100 51
18 19 40
18 30 12
18 33 39
18 35 12
18 51 56
18 53 21
18 54 48
18 57 25
18 60 56
18 65 58
18 67 32
18 71 42
18 75 27
18 76 10
18 80 57
18 81 2
18 82 44
18 86 17
18 87 64
18 90 28
18 91 18
18 92 45
18 95 35
18 99 23
19 23 39
19 24 48
19 27 15
19 28 45
19 31 31
19 35 40
19 37 32
19 40 19
19 42 37
19 44 46
19 45 20
19 47 4
19 48 48
19 57 23
19 62 60
19 71 16
19 73 61
19 74 40
19 78 32
19 83 19
19 86 20
19 87 38
19 88 14
20 21 18
20 27 49
20 33 7
20 35 10
20 39 47
20 41 8
20 43 16
20 49 7
20 55 31
20 56 49
20 57 28
20 61 63
20 62 51
20 65 54
20 73 5
20 74 61
20 77 10
20 78 7
20 81 54
20 83 58
20 84 24
20 87 49
20 95 48
21 32 54
21 33 49
21 35 52
21 36 54
21 37 21
21 41 38
21 42 56
21 44 34
21 45 58
21 50 42
21 55 30
21 56 9
21 63 39
21 64 61
21 72 29
21 73 50
21 75 59
21 77 50
21 82 22
21 88 29
21 90 5
21 94 7
21 97 51
22 24 46
22 27 37
22 28 43
22 29 60
22 31 59
22 35 61
22 36 54
22 47 13
22 49 40
22 55 36
22 64 55
22 66 39
22 67 27
22 68 60
22 82 22
22 88 40
22 93 23
22 95 27
22 96 64
23 27 33
23 28 55
23 30 51
23 36 55
23 37 35
23 40 63
23 43 46
23 45 4
23 54 13
23 58 57
23 61 16
23 63 11
23 66 35
23 68 23
23 70 13
23 75 5
23 82 11
23 84 42
23 85 16
23 92 37
23 93 61
24 25 28
24 33 14
24 35 22
24 36 11
24 41 51
24 42 14
24 45 49
24 55 58
24 59 25
24 64 56
24 77 9
24 87 54
24 90 1
24 95 29
24 98 9
24 99 36
25 30 54
25 33 38
25 36 3
25 41 38
25 46 50
25 47 24
25 49 21
25 57 49
25 64 22
25 65 29
25 68 39
25 77 12
25 79 12
25 82 35
25 84 29
25 92 51
25 95 33
26 27 55
26 32 24
26 34 32
26 36 32
26 41 32
26 42 48
26 45 6
26 47 9
26 56 19
26 58 16
26 60 22
26 61 5
26 62 59
26 66 42
26 69 23
26 79 54
26 87 19
26 98 11
27 28 27
27 33 28
27 37 14
27 38 58
27 41 60
27 51 55
27 57 12
27 58 24
27 63 5
27 64 13
27 76 20
27 78 30
27 79 50
27 87 9
27 88 34
27 90 38
27 99 26
28 32 60
28 34 39
28 38 9
28 39 54
28 42 63
28 44 51
28 48 23
28 49 14
28 63 22
28 71 56
28 72 10
28 73 55
28 84 62
28 88 9
29 31 63
29 35 48
29 37 1
29 38 23
29 48 35
29 50 52
29 53 62
29 58 15
29 60 21
29 64 58
29 69 46
29 75 57
29 91 63
29 96 50
30 32 46
30 36 13
30 37 22
30 40 30
30 43 34
30 51 30
30 54 55
30 55 49
30 62 29
30 63 18
30 68 56
30 71 22
30 73 45
30 80 41
30 93 14
30 99 4
31 35 4
31 37 36
31 40 12
31 43 8
31 45 14
31 49 33
31 50 1
31 54 56
31 66 21
31 67 42
31 75 30
31 78 52
31 79 21
31 81 39
31 82 64
31 85 4
31 87 42
31 91 37
32 35 2
32 37 43
32 40 28
32 48 6
32 51 18
32 57 9
32 61 56
32 63 4
32 68 43
32 69 5
32 83 62
32 85 54
32 99 51
33 39 12
33 40 40
33 43 15
33 45 25
33 47 47
33 56 60
33 61 37
33 63 36
33 68 4
33 72 52
33 79 47
33 81 15
33 84 57
33 88 7
33 92 48
33 93 54
33 96 10
33 97 25
33 100 56
34 36 25
34 43 56
34 44 9
34 45 60
34 48 36
34 49 32
34 50 16
34 57 22
34 60 64
34 61 46
34 62 20
34 64 12
34 65 44
34 70 50
34 73 24
34 76 51
34 80 38
34 83 14
34 99 39
34 100 21
35 37 45
35 40 6
35 43 1
35 47 49
35 50 48
35 52 16
35 54 51
35 64 10
35 76 3
35 77 46
35 85 4
35 88 1
35 90 29
36 39 19
36 44 21
36 46 16
36 48 43
36 49 8
36 52 60
36 55 23
36 57 14
36 62 39
36 72 36
36 75 15
36 88 52
36 89 10
36 91 9
36 93 10
36 97 64
36 100 63
37 38 33
37 40 5
37 44 17
37 45 52
37 47 37
37 49 3
37 52 36
37 53 37
37 55 45
37 58 17
37 60 18
37 61 15
37 62 30
37 69 29
37 73 5
37 74 33
37 76 16
37 79 27
37 80 30
37 81 16
37 83 22
37 85 42
37 93 46
37 95 29
37 96 25
37 99 47
38 39 10
38 44 7
38 48 33
38 50 41
38 51 32
38 52 11
38 56 4
38 61 37
38 63 14
38 64 54
38 68 5
38 69 1
38 73 4
38 74 9
38 77 38
38 85 45
38 88 3
38 89 42
38 91 43
38 94 46
38 96 49
38 100 1
39 41 31
39 46 30
39 50 3
39 52 55
39 58 28
39 59 59
39 62 46
39 69 60
39 70 29
39 77 26
39 79 8
39 87 52
39 92 52
40 41 2
40 44 59
40 51 27
40 54 31
40 57 31
40 60 33
40 61 11
40 62 1
40 74 57
40 75 25
40 80 53
40 81 18
40 82 4
40 86 56
40 87 2
40 88 20
40 91 50
40 92 18
40 94 29
40 95 60
41 43 46
41 45 51
41 55 9
41 60 60
41 62 2
41 70 7
41 78 1
41 81 9
41 83 30
41 89 59
41 90 27
41 92 11
41 93 8
41 94 8
41 95 25
41 96 36
42 47 62
42 48 19
42 52 62
42 54 61
42 63 61
42 72 8
42 74 41
42 78 14
42 81 35
42 96 9
42 98 55
43 44 8
43 47 43
43 48 47
43 53 28
43 55 9
43 56 23
43 62 19
43 74 44
43 75 10
43 76 14
43 77 26
43 83 6
43 85 7
43 86 8
43 91 26
43 96 28
43 100 1
44 45 2
44 48 62
44 51 19
44 55 55
