100 486
1 14 6
1 29 5
1 30 5
1 33 1
1 44 7
1 46 8
1 55 8
1 63 10
1 66 9
1 68 5
1 70 1
1 86 6
1 88 2
1 92 6
1 95 9
1 96 8
1 100 8
2 3 4
2 5 8
2 6 10
2 15 4
2 24 10
2 27 8
2 46 2
2 57 8
2 67 5
2 86 8
2 88 7
3 21 6
3 22 7
3 29 10
3 32 2
3 38 8
3 59 6
3 66 8
3 79 8
3 83 4
3 94 4
4 20 10
4 30 2
4 38 3
4 41 1
4 84 5
5 44 5
5 48 3
5 89 5
5 96 4
6 8 7
6 16 1
6 17 6
6 27 1
6 57 8
6 62 10
6 70 8
6 74 2
6 80 5
6 87 10
6 92 6
7 10 5
7 25 8
7 55 3
7 61 1
7 71 5
7 74 10
7 81 4
7 94 10
7 100 7
8 17 9
8 27 8
8 29 7
8 39 7
8 49 10
8 54 10
8 55 4
8 78 7
8 86 1
8 94 2
9 33 1
9 41 6
9 43 6
9 92 2
10 37 7
10 90 2
11 21 3
11 29 9
11 39 1
11 49 7
11 74 10
11 79 1
12 20 4
12 35 10
12 37 7
12 40 9
12 83 4
12 84 9
12 86 4
12 92 4
12 100 9
13 23 6
13 28 4
13 48 7
13 68 8
13 75 2
14 23 7
14 47 2
14 48 9
14 50 5
14 57 3
14 64 6
14 75 10
14 79 7
14 80 2
14 95 4
15 23 9
15 29 4
15 43 6
15 59 5
15 79 10
15 87 10
16 21 6
16 37 10
16 48 1
16 52 5
16 68 7
16 71 9
16 75 3
16 76 1
16 77 6
16 81 5
16 82 3
16 85 5
17 23 2
17 24 7
17 39 4
17 52 6
17 53 4
17 56 1
17 57 9
17 64 3
17 75 6
17 99 1
18 33 3
18 51 8
18 53 3
18 54 6
18 60 4
18 67 2
18 71 3
18 76 1
18 82 1
18 91 5
18 95 4
18 99 8
19 24 2
19 31 1
19 42 5
19 44 1
19 47 2
19 71 5
19 74 4
19 87 10
20 21 4
20 39 4
20 55 8
20 73 4
20 77 5
20 78 2
20 81 9
20 83 7
20 87 5
21 37 2
21 94 10
22 47 3
22 49 4
22 66 9
22 82 3
22 93 1
22 96 3
23 28 1
23 30 3
23 36 4
23 40 6
23 58 9
23 82 9
23 85 4
23 92 6
24 35 8
24 41 9
24 42 4
24 59 6
24 95 1
25 33 2
25 47 1
25 77 6
25 79 5
26 47 7
26 56 6
26 58 10
26 60 10
26 61 2
26 69 2
26 98 1
27 38 2
27 57 3
27 63 5
27 64 3
27 88 8
27 90 5
28 32 6
28 39 6
28 44 6
28 48 2
28 72 9
28 73 2
29 31 8
29 35 10
29 37 9
29 38 2
29 48 3
29 50 6
29 60 7
29 64 7
29 96 1
30 32 7
30 37 1
30 43 7
30 62 10
30 71 3
30 73 5
30 93 6
30 99 1
31 35 6
31 37 6
31 43 9
31 45 6
31 49 5
31 54 10
31 78 5
31 79 7
31 87 1
32 37 1
32 57 10
32 61 7
32 69 4
32 85 5
33 56 8
33 61 6
33 68 10
33 72 4
33 92 9
33 93 4
33 97 9
33 100 8
34 36 9
34 45 1
34 49 10
34 57 4
34 60 1
34 62 5
34 64 4
34 83 2
34 100 4
35 40 9
35 50 2
35 54 2
35 64 4
35 77 5
35 88 3
36 48 7
36 52 1
36 55 6
36 57 1
36 72 8
36 88 7
36 89 4
37 38 9
37 40 2
37 49 10
37 55 5
37 60 7
37 79 3
37 85 6
37 95 7
37 96 9
38 44 6
38 52 2
38 56 6
38 61 6
38 64 6
38 69 6
38 73 5
38 74 10
38 77 1
38 89 10
38 91 10
38 94 1
38 100 8
39 58 9
39 79 10
39 87 7
40 57 9
40 60 9
40 80 4
40 81 2
40 87 5
40 91 4
41 55 4
41 62 3
41 70 2
41 81 2
41 89 7
41 92 1
41 96 9
42 47 6
42 52 2
42 63 9
42 74 5
42 96 5
42 98 3
43 53 9
43 74 3
43 76 9
43 77 1
43 86 8
43 96 5
44 45 5
44 67 7
44 80 2
44 90 10
44 95 1
45 49 10
45 60 10
45 72 1
45 81 10
45 84 5
45 85 2
45 88 3
45 97 5
46 56 8
46 59 1
