480 85193
1 2 11
1 3 3
1 5 22
1 6 22
1 7 26
1 8 3
1 9 18
1 10 23
1 11 8
1 12 19
1 13 22
1 14 21
1 15 9
1 16 8
1 17 1
1 18 11
1 19 18
1 21 18
1 24 21
1 26 5
1 27 23
1 28 22
1 29 7
1 30 12
1 31 19
1 32 5
1 33 11
1 36 10
1 38 5
1 40 14
1 41 27
1 42 20
1 43 2
1 44 19
1 46 18
1 50 9
1 51 23
1 52 28
1 53 4
1 55 23
1 56 24
1 57 26
1 58 12
1 59 21
1 60 25
1 61 28
1 63 17
1 64 19
1 65 18
1 66 4
1 68 25
1 69 25
1 70 4
1 71 9
1 72 25
1 74 19
1 75 8
1 76 21
1 78 25
1 79 11
1 82 25
1 83 13
1 85 26
1 86 16
1 87 23
1 88 12
1 89 13
1 90 3
1 91 2
1 92 14
1 94 6
1 95 10
1 96 2
1 97 25
1 98 22
1 100 11
1 101 8
1 102 22
1 103 11
1 104 25
1 105 28
1 106 9
1 108 14
1 109 12
1 111 25
1 112 24
1 113 8
1 114 13
1 115 24
1 116 1
1 119 7
1 120 10
1 122 21
1 123 20
1 124 6
1 125 8
1 126 14
1 127 27
1 128 27
1 129 4
1 130 14
1 131 25
1 133 19
1 134 1
1 135 6
1 136 13
1 140 7
1 141 4
1 144 11
1 145 13
1 146 28
1 147 25
1 149 2
1 150 16
1 151 22
1 152 16
1 153 20
1 154 11
1 155 18
1 156 19
1 157 7
1 159 5
1 160 22
1 161 18
1 163 25
1 164 17
1 165 27
1 166 15
1 167 26
1 168 17
1 169 18
1 172 2
1 173 20
1 174 17
1 176 21
1 178 19
1 180 26
1 181 7
1 182 18
1 184 13
1 185 12
1 186 4
1 188 23
1 189 12
1 190 12
1 191 10
1 198 6
1 199 20
1 200 11
1 202 6
1 205 20
1 206 3
1 207 16
1 209 10
1 214 23
1 216 23
1 217 11
1 218 15
1 220 27
1 221 9
1 222 12
1 224 16
1 225 7
1 226 19
1 227 4
1 229 18
1 230 6
1 232 26
1 233 18
1 234 10
1 236 26
1 237 12
1 241 13
1 242 13
1 243 1
1 244 2
1 245 28
1 246 2
1 248 19
1 249 16
1 250 24
1 251 24
1 254 11
1 255 21
1 256 16
1 258 4
1 260 10
1 261 19
1 263 5
1 264 17
1 266 19
1 269 25
1 270 23
1 271 22
1 272 9
1 274 28
1 275 5
1 276 11
1 277 22
1 278 11
1 279 13
1 281 1
1 282 21
1 283 7
1 285 23
1 286 11
1 287 3
1 288 13
1 289 24
1 291 6
1 293 8
1 294 24
1 296 20
1 297 21
1 298 24
1 299 28
1 300 18
1 301 4
1 302 17
1 303 16
1 304 23
1 305 9
1 307 12
1 309 10
1 310 23
1 311 20
1 313 16
1 315 5
1 316 6
1 318 26
1 320 16
1 321 14
1 322 16
1 323 6
1 324 13
1 326 26
1 329 12
1 331 15
1 332 19
1 336 5
1 338 12
1 339 25
1 341 3
1 342 22
1 343 5
1 344 2
1 345 7
1 348 28
1 349 10
1 351 20
1 353 15
1 354 13
1 355 25
1 359 3
1 360 18
1 361 18
1 362 20
1 363 18
1 365 10
1 366 1
1 370 18
1 371 3
1 374 28
1 375 17
1 376 7
1 377 25
1 378 4
1 379 8
1 380 26
1 381 22
1 382 3
1 383 13
1 385 12
1 390 4
1 391 18
1 392 19
1 393 7
1 394 25
1 395 10
1 397 26
1 398 8
1 399 24
1 400 19
1 402 8
1 403 4
1 404 3
1 405 15
1 406 28
1 407 27
1 408 22
1 410 8
1 411 8
1 412 10
1 413 18
1 414 26
1 415 5
1 416 20
1 417 23
1 418 20
1 419 18
1 420 1
1 421 7
1 422 18
1 423 16
1 424 28
1 425 9
1 426 6
1 427 8
1 428 19
1 429 23
1 430 6
1 432 1
1 434 5
1 437 13
1 438 23
1 439 8
1 440 13
1 441 10
1 442 9
1 444 1
1 445 21
1 448 3
1 449 21
1 451 16
1 453 25
1 454 21
1 455 25
1 456 27
1 457 21
1 459 4
1 460 6
1 461 21
1 463 21
1 465 22
1 467 7
1 468 20
1 469 23
1 471 22
1 472 5
1 473 2
1 474 5
1 475 4
1 476 28
1 477 17
1 480 17
2 3 22
2 4 24
2 6 26
2 7 18
2 8 7
2 9 3
2 10 20
2 12 8
2 13 17
2 14 26
2 15 11
2 17 2
2 18 6
2 19 7
2 20 18
2 21 1
2 23 17
2 24 22
2 25 24
2 26 17
2 27 17
