860 273594
1 2 24
1 3 10
1 5 38
1 6 16
1 7 1
1 8 38
1 9 15
1 10 37
1 11 6
1 12 14
1 13 40
1 14 22
1 15 16
1 16 30
1 17 46
1 18 14
1 19 35
1 21 24
1 24 21
1 26 30
1 27 2
1 28 45
1 29 29
1 30 1
1 31 24
1 32 45
1 33 34
1 36 20
1 38 6
1 40 30
1 41 43
1 42 17
1 43 27
1 44 17
1 46 10
1 50 22
1 51 5
1 52 13
1 53 27
1 55 14
1 56 21
1 57 41
1 58 1
1 59 11
1 60 27
1 61 6
1 63 9
1 64 26
1 65 40
1 66 42
1 68 10
1 69 26
1 70 34
1 71 6
1 72 43
1 74 17
1 75 42
1 76 10
1 78 8
1 79 2
1 82 2
1 83 14
1 85 13
1 86 37
1 87 18
1 88 23
1 89 21
1 90 9
1 91 20
1 92 4
1 94 46
1 95 43
1 96 42
1 97 9
1 98 32
1 100 45
1 101 22
1 102 42
1 103 31
1 104 37
1 105 21
1 106 8
1 108 42
1 109 29
1 111 29
1 112 8
1 113 34
1 114 25
1 115 39
1 116 4
1 119 15
1 120 17
1 122 43
1 123 42
1 124 40
1 125 21
1 126 39
1 127 15
1 128 2
1 129 38
1 130 23
1 131 17
1 133 4
1 134 17
1 135 35
1 136 1
1 140 16
1 141 3
1 144 33
1 145 26
1 146 34
1 147 44
1 149 29
1 150 43
1 151 46
1 152 35
1 153 15
1 154 2
1 155 3
1 156 9
1 157 29
1 159 13
1 160 25
1 161 14
1 163 30
1 164 12
1 165 16
1 166 21
1 167 19
1 168 43
1 169 21
1 172 24
1 173 31
1 174 23
1 176 3
1 178 9
1 180 44
1 181 44
1 182 28
1 184 34
1 185 24
1 186 12
1 188 45
1 189 1
1 190 16
1 191 45
1 198 16
1 199 7
1 200 37
1 202 2
1 205 13
1 206 7
1 207 17
1 209 5
1 214 10
1 216 39
1 217 44
1 218 32
1 220 30
1 221 20
1 222 31
1 224 33
1 225 41
1 226 8
1 227 18
1 229 24
1 230 35
1 232 30
1 233 42
1 234 41
1 236 29
1 237 37
1 241 25
1 242 34
1 243 39
1 244 36
1 245 39
1 246 12
1 248 40
1 249 24
1 250 30
1 251 11
1 254 4
1 255 7
1 256 27
1 258 38
1 260 44
1 261 40
1 263 42
1 264 9
1 266 34
1 269 45
1 270 8
1 271 31
1 272 40
1 274 9
1 275 8
1 276 41
1 277 35
1 278 37
1 279 17
1 281 32
1 282 41
1 283 27
1 285 37
1 286 11
1 287 33
1 288 40
1 289 29
1 291 32
1 293 36
1 294 11
1 296 13
1 297 6
1 298 9
1 299 32
1 300 39
1 301 29
1 302 10
1 303 24
1 304 46
1 305 32
1 307 12
1 309 13
1 310 35
1 311 6
1 313 15
1 315 7
1 316 34
1 318 45
1 320 4
1 321 21
1 322 31
1 323 2
1 324 13
1 326 27
1 329 23
1 331 1
1 332 33
1 336 32
1 338 24
1 339 45
1 341 44
1 342 7
1 343 18
1 344 22
1 345 38
1 348 12
1 349 31
1 351 45
1 353 33
1 354 42
1 355 45
1 359 6
1 360 27
1 361 22
1 362 10
1 363 19
1 365 31
1 366 5
1 370 15
1 371 1
1 374 9
1 375 29
1 376 10
1 377 38
1 378 24
1 379 10
1 380 6
1 381 30
1 382 2
1 383 40
1 385 15
1 390 3
1 391 35
1 392 12
1 393 6
1 394 11
1 395 40
1 397 1
1 398 20
1 399 30
1 400 27
1 402 36
1 403 28
1 404 10
1 405 41
1 406 37
1 407 46
1 408 35
1 410 1
1 411 33
1 412 15
1 413 23
1 414 29
1 415 27
1 416 37
1 417 28
1 418 7
1 419 27
1 420 33
1 421 5
1 422 4
1 423 8
1 424 20
1 425 5
1 426 14
1 427 17
1 428 15
1 429 24
1 430 12
1 432 18
1 434 32
1 437 18
1 438 4
1 439 17
1 440 44
1 441 41
1 442 3
1 444 33
1 445 11
1 448 43
1 449 15
1 451 20
1 453 19
1 454 18
1 455 40
1 456 35
1 457 41
1 459 41
1 460 10
1 461 22
1 463 2
1 465 26
1 467 25
1 468 21
1 469 22
1 471 40
1 472 46
1 473 18
1 474 30
1 475 30
1 476 32
1 477 40
1 480 23
1 481 28
1 482 11
1 484 25
1 485 17
1 486 44
1 487 19
1 488 44
1 490 46
1 491 40
1 492 45
1 493 16
1 495 23
1 496 13
1 497 43
1 498 34
1 499 5
1 501 31
1 502 28
1 503 42
1 504 29
1 505 27
1 506 42
1 507 46
1 508 26
1 510 29
1 511 3
1 512 20
1 513 25
1 516 43
1 517 23
1 518 28
1 519 36
1 520 22
1 521 7
1 522 13
1 524 25
1 525 30
1 526 27
1 527 29
1 528 19
1 530 30
1 532 38
1 536 14
1 537 39
1 538 13
1 541 13
1 542 41
1 543 30
1 544 40
1 545 23
1 546 28
1 547 20
1 549 41
1 550 35
1 551 25
1 552 36
1 553 39
1 554 41
1 556 30
1 557 22
1 558 27
1 560 1
1 563 34
1 564 11
1 565 31
1 567 6
1 569 25
1 571 38
1 572 46
1 573 18
1 576 9
1 577 46
1 579 26
1 580 30
1 582 16
1 583 18
1 585 12
1 586 32
1 588 23
1 590 28
1 591 10
1 592 3
1 593 32
1 594 12
1 596 18
1 597 44
1 598 1
1 599 44
1 600 4
1 602 26
1 603 40
1 604 4
1 605 9
1 608 26
1 609 15
1 610 23
1 611 42
1 613 21
1 614 33
1 618 27
1 620 34
1 621 21
1 625 1
1 626 33
1 628 23
1 630 25
1 632 41
1 633 10
1 634 44
1 637 25
1 638 17
1 639 6
1 640 23
1 641 32
1 642 14
1 644 15
1 645 40
1 646 17
1 647 35
1 648 25
1 649 30
1 650 46
1 654 33
1 655 11
1 656 2
1 659 4
1 660 12
1 661 28
1 662 15
1 663 14
1 665 43
1 666 35
1 667 40
1 668 2
1 670 24
1 671 12
1 673 21
1 674 5
1 680 40
1 681 23
1 682 16
1 683 28
1 684 8
1 685 13
1 686 36
1 688 11
1 689 3
1 690 39
1 691 42
1 692 9
1 693 24
1 694 28
1 695 8
1 696 44
1 697 5
1 698 16
1 699 22
1 701 4
1 702 23
1 703 25
1 704 5
1 707 25
1 709 35
1 710 44
1 713 15
1 714 19
1 715 4
1 717 19
1 718 15
1 719 18
1 720 16
1 721 13
1 722 12
1 724 46
1 725 46
1 726 31
1 727 4
1 728 11
1 729 40
1 730 39
1 731 15
1 734 30
1 735 1
1 736 30
1 737 3
1 738 36
1 739 18
1 741 6
1 743 13
1 744 20
1 745 20
1 746 17
1 747 30
1 748 13
1 751 21
1 752 10
1 754 15
1 755 19
1 756 6
1 757 7
1 758 27
1 759 14
1 760 4
1 761 34
1 762 13
1 763 37
1 765 38
1 766 45
1 768 36
1 769 35
1 771 33
1 774 44
1 776 20
1 777 32
1 779 24
1 785 38
1 786 46
1 787 16
1 789 21
1 790 15
1 791 31
1 793 42
1 794 29
1 795 40
1 796 37
1 797 35
1 799 5
1 800 15
1 801 25
1 803 13
1 804 5
1 805 39
1 808 4
1 810 7
1 811 34
1 813 10
1 814 23
1 816 8
1 819 26
1 821 42
1 822 27
1 823 26
1 824 32
1 825 36
1 827 2
1 828 8
1 830 4
1 831 2
1 832 15
1 833 28
1 834 33
1 835 6
1 836 13
1 838 13
1 839 10
1 840 10
1 841 33
1 842 2
1 843 23
1 845 3
1 846 24
1 847 26
1 848 18
1 849 13
1 850 29
1 851 38
1 852 15
1 853 19
1 854 12
1 857 24
1 858 26
1 859 8
1 860 24
2 3 8
2 5 30
2 6 18
2 7 32
2 8 15
2 9 33
2 11 25
2 12 20
2 14 34
2 15 35
2 16 41
2 17 8
2 18 13
2 20 44
2 24 39
2 25 4
2 26 24
2 27 24
2 31 44
2 33 7
2 34 17
2 35 11
2 36 45
2 38 30
2 39 8
2 40 23
2 43 32
2 44 37
2 45 9
2 46 13
2 49 16
2 50 41
