100 1268
1 2 21
1 13 17
1 14 17
1 18 1
1 29 28
1 30 30
1 33 30
1 36 45
1 44 37
1 46 36
1 55 20
1 56 45
1 63 41
1 64 1
1 66 23
1 68 6
1 70 42
1 71 23
1 76 34
1 86 32
1 88 32
1 91 14
1 92 29
1 94 37
1 95 13
1 96 44
1 97 38
1 100 29
2 3 8
2 5 41
2 6 30
2 7 46
2 15 20
2 17 32
2 24 28
2 27 24
2 35 44
2 37 28
2 46 39
2 48 6
2 54 29
2 57 45
2 62 24
2 63 29
2 65 30
2 67 46
2 68 15
2 71 14
2 74 39
2 80 7
2 83 41
2 86 12
2 88 3
2 91 17
2 93 19
3 21 11
3 22 18
3 27 15
3 29 25
3 31 3
3 32 21
3 38 1
3 49 30
3 51 38
3 59 31
3 60 7
3 66 41
3 69 45
3 76 18
3 79 37
3 80 23
3 82 20
3 83 32
3 84 12
3 86 3
3 87 17
3 90 39
3 94 15
4 5 39
4 8 28
4 12 35
4 20 32
4 25 42
4 29 25
4 30 41
4 31 28
4 38 37
4 41 38
4 51 13
4 64 46
4 79 28
4 80 42
4 83 1
4 84 7
4 87 1
4 88 21
4 90 23
4 91 44
4 99 5
5 6 27
5 7 5
5 9 11
5 21 34
5 25 4
5 26 25
5 27 40
5 28 2
5 32 14
5 36 37
5 41 27
5 42 45
5 44 42
5 48 36
5 56 16
5 77 35
5 79 16
5 82 16
5 83 43
5 89 35
5 96 24
5 98 16
5 99 25
6 8 32
6 16 43
6 17 8
6 19 26
6 26 5
6 27 36
6 30 43
6 32 18
6 42 45
6 45 11
6 46 22
6 47 37
6 50 25
6 52 5
6 57 14
6 58 36
6 62 13
6 70 22
6 74 18
6 77 38
6 80 38
6 87 24
6 92 46
7 10 37
7 19 1
7 25 18
7 26 26
7 32 33
7 45 11
7 55 45
7 61 1
7 66 21
7 67 17
7 68 9
7 71 19
7 72 6
7 73 28
7 74 14
7 76 23
7 81 16
7 89 3
7 93 44
7 94 35
7 98 43
7 100 45
8 15 45
8 16 9
8 17 24
8 21 3
8 25 44
8 27 11
8 29 32
8 39 11
8 44 21
8 49 16
8 50 5
8 53 11
8 54 1
8 55 1
8 59 18
8 63 44
8 70 14
8 72 31
8 78 8
8 80 3
8 81 19
8 83 2
8 86 7
8 92 20
8 94 45
9 30 13
9 33 38
9 34 14
9 41 13
9 43 32
9 54 15
9 55 18
9 58 6
9 60 35
9 65 25
9 67 18
9 71 8
9 72 37
9 75 46
9 77 9
9 85 16
9 89 34
9 92 9
9 95 4
9 96 11
9 98 3
10 12 12
10 14 13
10 19 22
10 23 35
10 26 35
10 28 13
10 32 22
10 37 31
10 38 34
10 43 14
10 45 24
10 46 1
10 47 6
10 52 4
10 58 45
10 65 24
10 70 20
10 71 26
10 77 43
10 82 21
10 90 38
10 92 40
10 93 7
11 21 6
11 25 3
11 29 8
11 37 11
11 39 46
11 42 20
11 44 9
11 49 30
11 74 20
11 76 21
11 78 24
11 79 21
11 83 7
11 97 35
11 98 6
12 20 29
12 26 38
12 35 35
12 37 7
12 40 9
12 59 23
12 61 28
12 62 44
12 66 27
12 71 3
12 74 28
12 79 1
12 80 27
12 81 40
12 83 11
12 84 18
12 85 24
12 86 44
12 87 4
12 91 43
12 92 22
12 94 24
12 100 35
13 15 21
13 16 43
13 21 43
13 22 46
13 23 20
13 26 39
13 27 18
13 28 26
13 36 2
13 37 2
13 48 39
13 51 28
13 52 41
13 56 16
13 57 17
13 68 30
13 73 41
13 75 23
13 77 39
13 82 42
13 84 16
13 87 33
13 99 13
14 23 35
14 25 31
14 27 33
14 34 2
14 35 37
14 36 45
14 39 16
14 45 43
14 46 3
14 47 44
14 48 46
14 49 18
14 50 16
14 57 8
14 64 14
14 67 34
14 69 45
14 72 5
14 74 7
14 75 15
14 79 17
14 80 9
14 86 44
14 87 28
14 95 4
14 96 23
15 23 4
15 29 32
15 33 28
15 37 14
15 43 33
15 44 6
15 59 40
15 67 19
15 78 43
15 79 46
15 82 27
15 87 11
15 93 22
15 96 26
16 20 35
16 21 23
16 26 44
16 29 7
16 31 21
16 34 21
16 37 24
16 45 21
16 48 46
16 52 17
16 54 38
16 55 3
16 65 41
16 68 38
16 71 38
16 75 4
16 76 32
16 77 34
16 81 37
16 82 28
16 85 33
16 89 36
16 95 15
16 100 8
17 23 17
17 24 16
17 27 16
17 29 42
17 31 46
17 36 42
17 39 45
17 43 11
17 48 6
17 52 6
17 53 26
17 55 2
17 56 36
17 57 22
17 59 7
17 62 36
17 64 20
17 70 18
17 72 12
17 75 35
17 82 41
17 83 9
17 84 35
17 87 3
17 97 32
17 99 19
17 100 17
18 19 25
18 30 6
18 33 37
18 35 4
18 51 38
18 53 40
18 54 4
18 57 38
18 60 19
18 65 7
18 67 12
18 71 19
18 75 30
18 76 46
18 80 1
18 81 45
18 82 2
18 86 24
18 87 34
18 90 6
18 91 25
18 92 40
18 95 46
18 99 1
19 23 22
19 24 6
19 27 44
19 28 9
19 31 11
19 35 4
19 37 7
19 40 35
19 42 16
19 44 25
19 45 8
19 47 12
19 48 15
19 57 14
19 62 38
19 71 29
19 73 6
19 74 41
19 78 35
19 83 44
19 86 5
19 87 16
19 88 6
20 21 32
20 27 28
20 33 42
20 35 3
20 39 39
20 41 21
20 43 2
20 49 14
20 55 12
20 56 34
20 57 45
20 61 38
20 62 16
20 65 9
20 73 31
20 74 9
20 77 14
20 78 46
20 81 12
20 83 14
20 84 4
20 87 43
20 95 30
21 32 27
21 33 34
21 35 2
21 36 7
21 37 45
21 41 27
21 42 28
21 44 32
21 45 31
21 50 24
21 55 2
21 56 45
21 63 27
21 64 18
21 72 3
21 73 17
21 75 20
21 77 43
21 82 11
21 88 35
21 90 18
21 94 39
21 97 36
22 24 13
22 27 18
22 28 23
22 29 17
22 31 25
22 35 28
22 36 12
22 47 42
22 49 3
22 55 12
22 64 10
22 66 21
22 67 25
22 68 19
22 82 23
22 88 38
22 93 12
22 95 33
22 96 15
23 27 20
23 28 28
23 30 17
23 36 7
23 37 4
23 40 42
23 43 44
23 45 15
23 54 20
23 58 45
23 61 35
23 63 7
23 66 5
23 68 15
23 70 5
23 75 13
23 82 24
23 84 11
23 85 42
23 92 4
23 93 2
24 25 1
24 33 41
24 35 24
24 36 7
24 41 30
24 42 10
24 45 4
24 55 30
24 59 44
24 64 1
24 77 12
24 87 38
24 90 3
24 95 35
24 98 5
24 99 5
25 30 37
25 33 19
25 36 45
25 41 15
25 46 32
25 47 13
25 49 23
25 57 16
25 64 5
25 65 23
25 68 30
25 77 31
25 79 12
25 82 17
25 84 15
25 92 14
