100 486
1 14 11
1 29 26
1 30 9
1 33 9
1 44 1
1 46 14
1 55 15
1 63 28
1 66 15
1 68 23
1 70 19
1 86 18
1 88 10
1 92 23
1 95 21
1 96 28
1 100 1
2 3 12
2 5 3
2 6 26
2 15 21
2 24 12
2 27 17
2 46 16
2 57 16
2 67 7
2 86 27
2 88 15
3 21 19
3 22 7
3 29 22
3 32 19
3 38 15
3 59 4
3 66 21
3 79 15
3 83 23
3 94 10
4 20 16
4 30 14
4 38 12
4 41 22
4 84 14
5 44 20
5 48 3
5 89 15
5 96 23
6 8 12
6 16 15
6 17 15
6 27 23
6 57 8
6 62 7
6 70 20
6 74 4
6 80 21
6 87 6
6 92 25
7 10 27
7 25 2
7 55 24
7 61 9
7 71 10
7 74 6
7 81 9
7 94 8
7 100 13
8 17 2
8 27 11
8 29 1
8 39 27
8 49 15
8 54 19
8 55 16
8 78 25
8 86 4
8 94 21
9 33 23
9 41 26
9 43 9
9 92 25
10 37 19
10 90 12
11 21 10
11 29 16
11 39 6
11 49 2
11 74 9
11 79 25
12 20 20
12 35 8
12 37 20
12 40 25
12 83 27
12 84 14
12 86 18
12 92 16
12 100 21
13 23 27
13 28 28
13 48 13
13 68 21
13 75 14
14 23 25
14 47 19
14 48 28
14 50 19
14 57 7
14 64 23
14 75 14
14 79 21
14 80 1
14 95 4
15 23 1
15 29 11
15 43 12
15 59 22
15 79 3
15 87 14
16 21 28
16 37 3
16 48 6
16 52 17
16 68 26
16 71 26
16 75 2
16 76 13
16 77 20
16 81 1
16 82 7
16 85 19
17 23 14
17 24 23
17 39 21
17 52 27
17 53 18
17 56 8
17 57 18
17 64 8
17 75 8
17 99 22
18 33 18
18 51 12
18 53 8
18 54 13
18 60 24
18 67 16
18 71 22
18 76 4
18 82 13
18 91 3
18 95 18
18 99 22
19 24 9
19 31 23
19 42 6
19 44 11
19 47 19
19 71 13
19 74 24
19 87 3
20 21 7
20 39 18
20 55 7
20 73 11
20 77 9
20 78 26
20 81 19
20 83 19
20 87 12
21 37 23
21 94 19
22 47 1
22 49 9
22 66 13
22 82 17
22 93 6
22 96 23
23 28 24
23 30 1
23 36 11
23 40 9
23 58 5
23 82 10
23 85 27
23 92 3
24 35 14
24 41 7
24 42 12
24 59 8
24 95 2
25 33 22
25 47 18
25 77 22
25 79 23
26 47 23
26 56 5
26 58 12
26 60 2
26 61 22
26 69 6
26 98 24
27 38 16
27 57 6
27 63 25
27 64 11
27 88 8
27 90 3
28 32 6
28 39 1
28 44 1
28 48 9
28 72 22
28 73 7
29 31 16
29 35 4
29 37 26
29 38 2
29 48 10
29 50 1
29 60 4
29 64 10
29 96 23
30 32 7
30 37 19
30 43 7
30 62 26
30 71 7
30 73 16
30 93 8
30 99 9
31 35 3
31 37 18
31 43 13
31 45 9
31 49 4
31 54 19
31 78 23
31 79 28
31 87 5
32 37 8
32 57 17
32 61 27
32 69 28
32 85 24
33 56 5
33 61 2
33 68 6
33 72 2
33 92 6
33 93 24
33 97 7
33 100 11
34 36 18
34 45 18
34 49 7
34 57 11
34 60 16
34 62 17
34 64 7
34 83 12
34 100 1
35 40 3
35 50 2
35 54 23
35 64 12
35 77 10
35 88 13
36 48 22
36 52 11
36 55 19
36 57 25
36 72 20
36 88 4
36 89 3
37 38 2
37 40 4
37 49 6
37 55 23
37 60 10
37 79 5
37 85 15
37 95 10
37 96 11
38 44 12
38 52 11
38 56 4
38 61 18
38 64 3
38 69 15
38 73 19
38 74 18
38 77 4
38 89 5
38 91 12
38 94 14
38 100 22
39 58 14
39 79 2
39 87 14
40 57 1
40 60 14
40 80 20
40 81 6
40 87 9
40 91 24
41 55 12
41 62 22
41 70 24
41 81 2
41 89 22
41 92 11
41 96 12
42 47 18
42 52 11
42 63 22
42 74 22
42 96 23
42 98 10
43 53 20
43 74 27
43 76 9
43 77 13
43 86 1
43 96 28
44 45 25
44 67 1
44 80 20
44 90 14
44 95 21
45 49 8
45 60 9
45 72 15
45 81 21
45 84 26
45 85 12
45 88 20
45 97 21
46 56 8
46 59 17
46 67 7
46 71 18
46 80 16
46 91 17
47 55 1
47 60 19
47 61 28
47 85 23
47 92 26
47 95 8
47 97 24
47 100 22
48 64 28
48 78 27
48 92 2
49 56 22
49 59 23
49 61 9
49 65 8
49 70 27
49 98 28
50 61 4
